Publication Year,Author,Title,Publication Title,Date,Issue,Pages,filename,jel_e,contain_keyword,filepath,is_macro_paper,macro_paper_reason,Title_Search,Author_Search,Author_Search_First_Word,Publication_Title_Search,search_query_full,search_query_title_and_author,hyperlink_full,hyperlink_title_and_author,hyperlink_title,hyperlink_title_and_author_advanced_search,title,title_link,publication_info,cited_by,number_of_citations,search_attempt
2021,"GOEREE, JACOB K.; LOUIS, PHILIPPOS",M Equilibrium: A Theory of Beliefs and Choices in Games.,American Economic Review,2021-12,12,4002-4045,aer.20201683,0,1,C:\Users\jasonjia\Dropbox\Projects\channels_in_macro\data\papers_pdf\aer\2021\12\aer.20201683.txt,1,contain_keyword,M+Equilibrium+A+Theory+of+Beliefs+and+Choices+in+Games,GOEREE+JACOB+K+LOUIS+PHILIPPOS,GOEREE,American+Economic+Review,M+Equilibrium+A+Theory+of+Beliefs+and+Choices+in+Games+GOEREE+JACOB+K+LOUIS+PHILIPPOS+American+Economic+Review+2021,M+Equilibrium+A+Theory+of+Beliefs+and+Choices+in+Games+GOEREE+JACOB+K+LOUIS+PHILIPPOS,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=M+Equilibrium+A+Theory+of+Beliefs+and+Choices+in+Games+GOEREE+JACOB+K+LOUIS+PHILIPPOS+American+Economic+Review+2021&btnG=,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=M+Equilibrium+A+Theory+of+Beliefs+and+Choices+in+Games+GOEREE+JACOB+K+LOUIS+PHILIPPOS&btnG=,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=M+Equilibrium+A+Theory+of+Beliefs+and+Choices+in+Games&btnG=,https://scholar.google.com/scholar?as_q=M+Equilibrium+A+Theory+of+Beliefs+and+Choices+in+Games&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=GOEREE&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C14,M Equilibrium: A theory of beliefs and choices in games,https://ideas.repec.org/p/arx/papers/1811.05138.html,"JK Goeree, P Louis - 2021 - ideas.repec.org","https://scholar.google.com/scholar?cites=8740224321741932985&as_sdt=400005&sciodt=0,14&hl=en",1,title_and_author_advanced_search
2021,"CHAHROUR, RYAN; NIMARK, KRISTOFFER; PITSCHNER, STEFAN",Sectoral Media Focus and Aggregate Fluctuations.,American Economic Review,2021-12,12,3872-3922,aer.20191895,1,1,C:\Users\jasonjia\Dropbox\Projects\channels_in_macro\data\papers_pdf\aer\2021\12\aer.20191895.txt,1,jel_e and contain_keyword,Sectoral+Media+Focus+and+Aggregate+Fluctuations,CHAHROUR+RYAN+NIMARK+KRISTOFFER+PITSCHNER+STEFAN,CHAHROUR,American+Economic+Review,Sectoral+Media+Focus+and+Aggregate+Fluctuations+CHAHROUR+RYAN+NIMARK+KRISTOFFER+PITSCHNER+STEFAN+American+Economic+Review+2021,Sectoral+Media+Focus+and+Aggregate+Fluctuations+CHAHROUR+RYAN+NIMARK+KRISTOFFER+PITSCHNER+STEFAN,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Sectoral+Media+Focus+and+Aggregate+Fluctuations+CHAHROUR+RYAN+NIMARK+KRISTOFFER+PITSCHNER+STEFAN+American+Economic+Review+2021&btnG=,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Sectoral+Media+Focus+and+Aggregate+Fluctuations+CHAHROUR+RYAN+NIMARK+KRISTOFFER+PITSCHNER+STEFAN&btnG=,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Sectoral+Media+Focus+and+Aggregate+Fluctuations&btnG=,https://scholar.google.com/scholar?as_q=Sectoral+Media+Focus+and+Aggregate+Fluctuations&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=CHAHROUR&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C14,[PDF] Sectoral media focus and aggregate fluctuations,http://kris-nimark.net/pdf/papers/chahrour_nimark_pitschner_sectoral_media_focus.pdf,"R Chahrour, KP Nimark, S Pitschner - 2019 - kris-nimark.net","https://scholar.google.com/scholar?cites=12613432270009629801&as_sdt=400005&sciodt=0,14&hl=en",24,title_and_author_advanced_search
2021,"BRAGUINSKY, SERGUEY; ATSUSHI OHYAMA; TETSUJI OKAZAKI; SYVERSON, CHAD","Product Innovation, Product Diversification, and Firm Growth: Evidence from Japan's Early Industrialization.",American Economic Review,2021-12,12,3795-3826,aer.20201656,0,1,C:\Users\jasonjia\Dropbox\Projects\channels_in_macro\data\papers_pdf\aer\2021\12\aer.20201656.txt,1,contain_keyword,Product+Innovation+Product+Diversification+and+Firm+Growth+Evidence+from+Japan+s+Early+Industrialization,BRAGUINSKY+SERGUEY+ATSUSHI+OHYAMA+TETSUJI+OKAZAKI+SYVERSON+CHAD,BRAGUINSKY,American+Economic+Review,Product+Innovation+Product+Diversification+and+Firm+Growth+Evidence+from+Japan+s+Early+Industrialization+BRAGUINSKY+SERGUEY+ATSUSHI+OHYAMA+TETSUJI+OKAZAKI+SYVERSON+CHAD+American+Economic+Review+2021,Product+Innovation+Product+Diversification+and+Firm+Growth+Evidence+from+Japan+s+Early+Industrialization+BRAGUINSKY+SERGUEY+ATSUSHI+OHYAMA+TETSUJI+OKAZAKI+SYVERSON+CHAD,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Product+Innovation+Product+Diversification+and+Firm+Growth+Evidence+from+Japan+s+Early+Industrialization+BRAGUINSKY+SERGUEY+ATSUSHI+OHYAMA+TETSUJI+OKAZAKI+SYVERSON+CHAD+American+Economic+Review+2021&btnG=,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Product+Innovation+Product+Diversification+and+Firm+Growth+Evidence+from+Japan+s+Early+Industrialization+BRAGUINSKY+SERGUEY+ATSUSHI+OHYAMA+TETSUJI+OKAZAKI+SYVERSON+CHAD&btnG=,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Product+Innovation+Product+Diversification+and+Firm+Growth+Evidence+from+Japan+s+Early+Industrialization&btnG=,https://scholar.google.com/scholar?as_q=Product+Innovation+Product+Diversification+and+Firm+Growth+Evidence+from+Japan+s+Early+Industrialization&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=BRAGUINSKY&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C14,"Product Innovation, Product Diversification, and Firm Growth: Evidence from Japan's Early Industrialization",https://www.nber.org/papers/w26665,"S Braguinsky, A Ohyama, T Okazaki, C Syverson - 2020 - nber.org","https://scholar.google.com/scholar?cites=4698569554197660930&as_sdt=400005&sciodt=0,14&hl=en",10,title_and_author_advanced_search
2021,"Kostøl, Andreas R.; Myhre, Andreas S.",Labor Supply Responses to Learning the Tax and Benefit Schedule.,American Economic Review,2021-11,11,3733-3766,aer.20201877,0,1,C:\Users\jasonjia\Dropbox\Projects\channels_in_macro\data\papers_pdf\aer\2021\11\aer.20201877.txt,1,contain_keyword,Labor+Supply+Responses+to+Learning+the+Tax+and+Benefit+Schedule,Kostøl+Andreas+R+Myhre+Andreas+S,Kostøl,American+Economic+Review,Labor+Supply+Responses+to+Learning+the+Tax+and+Benefit+Schedule+Kostøl+Andreas+R+Myhre+Andreas+S+American+Economic+Review+2021,Labor+Supply+Responses+to+Learning+the+Tax+and+Benefit+Schedule+Kostøl+Andreas+R+Myhre+Andreas+S,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Labor+Supply+Responses+to+Learning+the+Tax+and+Benefit+Schedule+Kostøl+Andreas+R+Myhre+Andreas+S+American+Economic+Review+2021&btnG=,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Labor+Supply+Responses+to+Learning+the+Tax+and+Benefit+Schedule+Kostøl+Andreas+R+Myhre+Andreas+S&btnG=,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Labor+Supply+Responses+to+Learning+the+Tax+and+Benefit+Schedule&btnG=,https://scholar.google.com/scholar?as_q=Labor+Supply+Responses+to+Learning+the+Tax+and+Benefit+Schedule&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Kostøl&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C14,Labor supply responses to learning the tax and benefit schedule,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3738842,"A Kostøl, A Myhre - 2020 - papers.ssrn.com","https://scholar.google.com/scholar?cites=501071184673294222&as_sdt=400005&sciodt=0,14&hl=en",2,title_and_author_advanced_search
2021,"Almunia, Miguel; Antràs, Pol; Lopez-Rodriguez, David; Morales, Eduardo",Venting Out: Exports during a Domestic Slump.,American Economic Review,2021-11,11,3611-3662,aer.20181853,1,1,C:\Users\jasonjia\Dropbox\Projects\channels_in_macro\data\papers_pdf\aer\2021\11\aer.20181853.txt,1,jel_e and contain_keyword,Venting+Out+Exports+during+a+Domestic+Slump,Almunia+Miguel+Antràs+Pol+Lopez-Rodriguez+David+Morales+Eduardo,Almunia,American+Economic+Review,Venting+Out+Exports+during+a+Domestic+Slump+Almunia+Miguel+Antràs+Pol+Lopez-Rodriguez+David+Morales+Eduardo+American+Economic+Review+2021,Venting+Out+Exports+during+a+Domestic+Slump+Almunia+Miguel+Antràs+Pol+Lopez-Rodriguez+David+Morales+Eduardo,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Venting+Out+Exports+during+a+Domestic+Slump+Almunia+Miguel+Antràs+Pol+Lopez-Rodriguez+David+Morales+Eduardo+American+Economic+Review+2021&btnG=,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Venting+Out+Exports+during+a+Domestic+Slump+Almunia+Miguel+Antràs+Pol+Lopez-Rodriguez+David+Morales+Eduardo&btnG=,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Venting+Out+Exports+during+a+Domestic+Slump&btnG=,https://scholar.google.com/scholar?as_q=Venting+Out+Exports+during+a+Domestic+Slump&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Almunia&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C14,Venting out: Exports during a domestic slump,https://www.nber.org/papers/w25372,"M Almunia, P Antràs, D Lopez-Rodriguez, E Morales - 2018 - nber.org","https://scholar.google.com/scholar?cites=14661524792448676042&as_sdt=400005&sciodt=0,14&hl=en",84,title_and_author_advanced_search
2021,"Biais, Bruno; Hombert, Johan; Weill, Pierre-Olivier","Incentive Constrained Risk Sharing, Segmentation, and Asset Pricing.",American Economic Review,2021-11,11,3575-3610,aer.20181707,0,1,C:\Users\jasonjia\Dropbox\Projects\channels_in_macro\data\papers_pdf\aer\2021\11\aer.20181707.txt,1,contain_keyword,Incentive+Constrained+Risk+Sharing+Segmentation+and+Asset+Pricing,Biais+Bruno+Hombert+Johan+Weill+Pierre-Olivier,Biais,American+Economic+Review,Incentive+Constrained+Risk+Sharing+Segmentation+and+Asset+Pricing+Biais+Bruno+Hombert+Johan+Weill+Pierre-Olivier+American+Economic+Review+2021,Incentive+Constrained+Risk+Sharing+Segmentation+and+Asset+Pricing+Biais+Bruno+Hombert+Johan+Weill+Pierre-Olivier,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Incentive+Constrained+Risk+Sharing+Segmentation+and+Asset+Pricing+Biais+Bruno+Hombert+Johan+Weill+Pierre-Olivier+American+Economic+Review+2021&btnG=,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Incentive+Constrained+Risk+Sharing+Segmentation+and+Asset+Pricing+Biais+Bruno+Hombert+Johan+Weill+Pierre-Olivier&btnG=,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Incentive+Constrained+Risk+Sharing+Segmentation+and+Asset+Pricing&btnG=,https://scholar.google.com/scholar?as_q=Incentive+Constrained+Risk+Sharing+Segmentation+and+Asset+Pricing&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Biais&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C14,"Incentive constrained risk sharing, segmentation, and asset pricing",https://www.nber.org/papers/w23986,"B Biais, J Hombert, PO Weill - 2017 - nber.org","https://scholar.google.com/scholar?cites=10850567326123158193&as_sdt=400005&sciodt=0,14&hl=en",11,title_and_author_advanced_search
2021,"Breza, Emily; Kaur, Supreet; Shamdasani, Yogita",Labor Rationing.,American Economic Review,2021-10,10,3184-3224,aer.20201385,1,1,C:\Users\jasonjia\Dropbox\Projects\channels_in_macro\data\papers_pdf\aer\2021\10\aer.20201385.txt,1,jel_e and contain_keyword,Labor+Rationing,Breza+Emily+Kaur+Supreet+Shamdasani+Yogita,Breza,American+Economic+Review,Labor+Rationing+Breza+Emily+Kaur+Supreet+Shamdasani+Yogita+American+Economic+Review+2021,Labor+Rationing+Breza+Emily+Kaur+Supreet+Shamdasani+Yogita,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Labor+Rationing+Breza+Emily+Kaur+Supreet+Shamdasani+Yogita+American+Economic+Review+2021&btnG=,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Labor+Rationing+Breza+Emily+Kaur+Supreet+Shamdasani+Yogita&btnG=,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Labor+Rationing&btnG=,https://scholar.google.com/scholar?as_q=Labor+Rationing&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Breza&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C14,Labor rationing,https://www.nber.org/papers/w28643,"E Breza, S Kaur, Y Shamdasani - 2021 - nber.org","https://scholar.google.com/scholar?cites=7384315757406909469&as_sdt=400005&sciodt=0,14&hl=en",13,title_and_author_advanced_search
2021,"Moretti, Enrico",The Effect of -High-Tech Clusters on the Productivity of Top Inventors.,American Economic Review,2021-10,10,3328-3375,aer.20191277,0,1,C:\Users\jasonjia\Dropbox\Projects\channels_in_macro\data\papers_pdf\aer\2021\10\aer.20191277.txt,1,contain_keyword,The+Effect+of+-High-Tech+Clusters+on+the+Productivity+of+Top+Inventors,Moretti+Enrico,Moretti,American+Economic+Review,The+Effect+of+-High-Tech+Clusters+on+the+Productivity+of+Top+Inventors+Moretti+Enrico+American+Economic+Review+2021,The+Effect+of+-High-Tech+Clusters+on+the+Productivity+of+Top+Inventors+Moretti+Enrico,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=The+Effect+of+-High-Tech+Clusters+on+the+Productivity+of+Top+Inventors+Moretti+Enrico+American+Economic+Review+2021&btnG=,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=The+Effect+of+-High-Tech+Clusters+on+the+Productivity+of+Top+Inventors+Moretti+Enrico&btnG=,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=The+Effect+of+-High-Tech+Clusters+on+the+Productivity+of+Top+Inventors&btnG=,https://scholar.google.com/scholar?as_q=The+Effect+of+-High-Tech+Clusters+on+the+Productivity+of+Top+Inventors&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Moretti&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C14,Peers at work,https://www.aeaweb.org/articles?id=10.1257/aer.99.1.112,"A Mas, E Moretti - American Economic Review, 2009 - aeaweb.org","https://scholar.google.com/scholar?cites=17712189480063932577&as_sdt=400005&sciodt=0,14&hl=en",1589,title_and_author_advanced_search
2021,"Decarolis, Francesco; Rovigatti, Gabriele",From Mad Men to Maths Men: Concentration and Buyer Power in Online Advertising.,American Economic Review,2021-10,10,3299-3327,aer.20190811,0,1,C:\Users\jasonjia\Dropbox\Projects\channels_in_macro\data\papers_pdf\aer\2021\10\aer.20190811.txt,1,contain_keyword,From+Mad+Men+to+Maths+Men+Concentration+and+Buyer+Power+in+Online+Advertising,Decarolis+Francesco+Rovigatti+Gabriele,Decarolis,American+Economic+Review,From+Mad+Men+to+Maths+Men+Concentration+and+Buyer+Power+in+Online+Advertising+Decarolis+Francesco+Rovigatti+Gabriele+American+Economic+Review+2021,From+Mad+Men+to+Maths+Men+Concentration+and+Buyer+Power+in+Online+Advertising+Decarolis+Francesco+Rovigatti+Gabriele,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=From+Mad+Men+to+Maths+Men+Concentration+and+Buyer+Power+in+Online+Advertising+Decarolis+Francesco+Rovigatti+Gabriele+American+Economic+Review+2021&btnG=,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=From+Mad+Men+to+Maths+Men+Concentration+and+Buyer+Power+in+Online+Advertising+Decarolis+Francesco+Rovigatti+Gabriele&btnG=,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=From+Mad+Men+to+Maths+Men+Concentration+and+Buyer+Power+in+Online+Advertising&btnG=,https://scholar.google.com/scholar?as_q=From+Mad+Men+to+Maths+Men+Concentration+and+Buyer+Power+in+Online+Advertising&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Decarolis&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C14,From mad men to maths men: Concentration and buyer power in online advertising,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3428421,"F Decarolis, G Rovigatti - 2019 - papers.ssrn.com","https://scholar.google.com/scholar?cites=9766589911724065853&as_sdt=400005&sciodt=0,14&hl=en",16,title_and_author_advanced_search
2021,"Gerard, François; Lagos, Lorenzo; Severnini, Edson; Card, David",Assortative Matching or Exclusionary Hiring? The Impact of Employment and Pay Policies on Racial Wage Differences in Brazil.,American Economic Review,2021-10,10,3418-3457,aer.20181596,0,1,C:\Users\jasonjia\Dropbox\Projects\channels_in_macro\data\papers_pdf\aer\2021\10\aer.20181596.txt,1,contain_keyword,Assortative+Matching+or+Exclusionary+Hiring+The+Impact+of+Employment+and+Pay+Policies+on+Racial+Wage+Differences+in+Brazil,Gerard+François+Lagos+Lorenzo+Severnini+Edson+Card+David,Gerard,American+Economic+Review,Assortative+Matching+or+Exclusionary+Hiring+The+Impact+of+Employment+and+Pay+Policies+on+Racial+Wage+Differences+in+Brazil+Gerard+François+Lagos+Lorenzo+Severnini+Edson+Card+David+American+Economic+Review+2021,Assortative+Matching+or+Exclusionary+Hiring+The+Impact+of+Employment+and+Pay+Policies+on+Racial+Wage+Differences+in+Brazil+Gerard+François+Lagos+Lorenzo+Severnini+Edson+Card+David,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Assortative+Matching+or+Exclusionary+Hiring+The+Impact+of+Employment+and+Pay+Policies+on+Racial+Wage+Differences+in+Brazil+Gerard+François+Lagos+Lorenzo+Severnini+Edson+Card+David+American+Economic+Review+2021&btnG=,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Assortative+Matching+or+Exclusionary+Hiring+The+Impact+of+Employment+and+Pay+Policies+on+Racial+Wage+Differences+in+Brazil+Gerard+François+Lagos+Lorenzo+Severnini+Edson+Card+David&btnG=,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C14&q=Assortative+Matching+or+Exclusionary+Hiring+The+Impact+of+Employment+and+Pay+Policies+on+Racial+Wage+Differences+in+Brazil&btnG=,https://scholar.google.com/scholar?as_q=Assortative+Matching+or+Exclusionary+Hiring+The+Impact+of+Employment+and+Pay+Policies+on+Racial+Wage+Differences+in+Brazil&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Gerard&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C14,Assortative matching or exclusionary hiring? the impact of employment and pay policies on racial wage differences in brazil,https://www.aeaweb.org/doi/10.1257/aer.20181596,"F Gerard, L Lagos, E Severnini, D Card - American Economic Review, 2021 - aeaweb.org","https://scholar.google.com/scholar?cites=9693844538445021194&as_sdt=400005&sciodt=0,14&hl=en",10,title_and_author_advanced_search
